sep=	
time (source1)	x	time (source1)	y	time (source1)	z
13.298	-40	13.3	140	13.3	1180
13.33	-96	13.33	216	13.323	-1088
13.355	-156	13.354	-2024	13.355	-1884
13.384	-2040	13.383	20	13.385	-2012
13.414	260	13.418	208	13.408	-1648
13.44	228	13.439	304	13.436	-1476
13.47	132	13.468	176	13.472	-1348
13.5	-76	13.504	240	13.491	-1156
13.523	-124	13.524	24	13.525	-916
13.556	-120	13.552	104	13.552	-720
13.577	-84	13.579	68	13.575	-552
13.61	-112	13.605	56	13.615	-376
13.636	-60	13.637	-16	13.634	-72
13.661	-60	13.669	16	13.663	-32
13.701	-24	13.689	76	13.687	0
13.719	-16	13.716	116	13.72	-20
13.747	12	13.755	116	13.748	-84
13.773	36	13.773	100	13.772	-320
13.805	28	13.8	192	13.801	-532
13.831	28	13.833	236	13.831	-1000
13.857	-60	13.855	176	13.855	-1148
13.886	-68	13.884	-48	13.886	-1136
13.915	-28	13.92	-220	13.918	-1244
13.95	-92	13.949	192	13.948	-1480
13.973	-56	13.971	-8	13.971	852
14.002	-128	14.002	108	14.001	-784
14.032	-128	14.034	-1764	14.033	-1712
14.066	-2040	14.055	416	14.055	-2040
14.086	-204	14.087	344	14.083	-2020
14.117	160	14.117	164	14.114	-1252
14.14	60	14.14	-20	14.14	-1172
14.17	-68	14.167	156	14.168	-1032
14.198	-140	14.202	-4	14.199	-596
14.233	-116	14.223	100	14.223	-480
14.254	-96	14.254	-48	14.251	-316
14.283	-128	14.285	40	14.281	-84
14.315	-76	14.305	-8	14.307	-64
14.336	-40	14.335	128	14.336	-76
14.366	-32	14.367	236	14.371	-60
14.399	-20	14.401	104	14.391	40
14.422	64	14.425	120	14.419	-216
14.456	48	14.451	176	14.447	-392
14.483	-4	14.473	148	14.475	-972
14.504	-40	14.503	48	14.503	-896
14.533	-36	14.535	-116	14.533	-736
14.568	44	14.565	-180	14.564	-1440
14.589	-76	14.587	260	14.591	-1876
14.618	36	14.617	68	14.62	-2040
14.648	-136	14.649	96	14.65	-1396
14.682	-52	14.678	808	14.676	-2040
14.705	408	14.702	96	14.704	-2040
14.734	-36	14.735	392	14.732	-1664
14.767	84	14.766	316	14.761	-1352
14.789	12	14.786	224	14.788	-1208
14.817	-120	14.815	160	14.816	-908
14.846	-108	14.849	48	14.848	-516
