X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-79.85525,43.259634,"0","0","83",86,2025/10/26 01:33:02+00,,,,,,,,,,,,,,,,,,,,,
-79.85525,43.259626,"0","0","84",86,2025/10/26 01:33:03+00,,,,,,,,,,,,,,,,,,,,,
-79.855247,43.259617,"0","0","85",86,2025/10/26 01:33:04+00,,,,,,,,,,,,,,,,,,,,,
-79.855243,43.259609,"0","0","86",86,2025/10/26 01:33:05+00,,,,,,,,,,,,,,,,,,,,,
-79.855238,43.259603,"0","0","87",86,2025/10/26 01:33:06+00,,,,,,,,,,,,,,,,,,,,,
-79.855233,43.259601,"0","0","88",86,2025/10/26 01:33:07+00,,,,,,,,,,,,,,,,,,,,,
-79.855227,43.259598,"0","0","89",86,2025/10/26 01:33:08+00,,,,,,,,,,,,,,,,,,,,,
-79.855223,43.259596,"0","0","90",86,2025/10/26 01:33:09+00,,,,,,,,,,,,,,,,,,,,,
-79.85522,43.259594,"0","0","91",86,2025/10/26 01:33:10+00,,,,,,,,,,,,,,,,,,,,,
-79.855215,43.259592,"0","0","92",86,2025/10/26 01:33:11+00,,,,,,,,,,,,,,,,,,,,,
-79.855209,43.259592,"0","0","93",86,2025/10/26 01:33:12+00,,,,,,,,,,,,,,,,,,,,,
-79.855199,43.259591,"0","0","94",86,2025/10/26 01:33:13+00,,,,,,,,,,,,,,,,,,,,,
-79.855189,43.259588,"0","0","95",86,2025/10/26 01:33:14+00,,,,,,,,,,,,,,,,,,,,,
-79.855178,43.259585,"0","0","96",86,2025/10/26 01:33:15+00,,,,,,,,,,,,,,,,,,,,,
-79.855167,43.259582,"0","0","97",86,2025/10/26 01:33:16+00,,,,,,,,,,,,,,,,,,,,,
-79.855153,43.259578,"0","0","98",86.1,2025/10/26 01:33:17+00,,,,,,,,,,,,,,,,,,,,,
-79.855141,43.259574,"0","0","99",86.1,2025/10/26 01:33:18+00,,,,,,,,,,,,,,,,,,,,,
-79.855133,43.259571,"0","0","100",86.1,2025/10/26 01:33:19+00,,,,,,,,,,,,,,,,,,,,,
-79.855127,43.259565,"0","0","101",86.1,2025/10/26 01:33:20+00,,,,,,,,,,,,,,,,,,,,,
-79.855118,43.259553,"0","0","102",86.1,2025/10/26 01:33:21+00,,,,,,,,,,,,,,,,,,,,,
-79.855112,43.259542,"0","0","103",86.2,2025/10/26 01:33:22+00,,,,,,,,,,,,,,,,,,,,,
-79.855109,43.259532,"0","0","104",86.2,2025/10/26 01:33:23+00,,,,,,,,,,,,,,,,,,,,,
-79.855108,43.25952,"0","0","105",86.2,2025/10/26 01:33:24+00,,,,,,,,,,,,,,,,,,,,,
